,Actual Values,Predicted Values,Gender,Age Group,Year In,Month In,Year Out,Month Out,Country_Code
120862,0,0,1,7,2018,8,2018,8,7
131635,1,1,2,6,2018,9,2018,9,2
7708,0,0,1,3,2017,3,2017,3,7
206475,1,0,2,3,2019,1,2019,1,1
29547,0,0,1,7,2017,9,2017,9,7
466558,1,1,2,5,2019,10,2019,11,4
323349,1,1,1,5,2019,5,2019,5,1
219073,1,1,1,2,2019,2,2019,2,2
118918,1,0,2,7,2018,8,2018,8,2
489868,0,0,2,7,2017,3,2017,3,1
462512,1,1,1,3,2019,10,2019,10,2
6727,0,0,2,7,2017,2,2017,2,7
227413,1,1,1,4,2019,2,2019,2,5
427612,0,0,1,3,2019,7,2019,7,1
39218,0,0,2,2,2017,11,2017,11,1
538247,0,1,2,5,2018,9,2018,9,7
384795,0,0,2,1,2019,6,2019,6,1
572780,1,0,1,4,2019,10,2019,10,7
359422,0,1,2,5,2019,5,2019,5,5
322974,0,1,1,5,2019,5,2019,5,5
194782,0,1,2,4,2019,1,2019,1,5
142793,1,1,2,3,2018,10,2018,10,2
536559,0,0,1,1,2018,9,2018,9,7
2832,0,0,2,6,2017,1,2017,1,1
32700,0,0,2,7,2017,10,2017,10,2
255325,1,1,2,3,2019,3,2019,3,1
344337,1,1,2,7,2019,5,2019,5,2
296299,1,0,1,3,2019,4,2019,4,2
17224,0,0,1,7,2017,7,2017,7,7
483441,0,0,2,6,2020,1,2020,1,7
498063,0,0,2,7,2017,9,2017,9,7
167534,1,0,2,7,2018,11,2018,11,2
138119,1,1,1,6,2018,10,2018,10,2
232481,1,1,2,3,2019,2,2019,2,2
434352,0,0,1,7,2019,8,2019,8,7
556560,1,0,2,2,2019,4,2019,4,17
231641,0,1,2,4,2019,2,2019,2,2
92218,0,0,1,6,2018,5,2018,5,2
319548,0,0,2,4,2019,5,2019,5,2
324768,1,0,2,2,2019,5,2019,5,5
546709,0,0,2,6,2018,12,2018,12,7
228612,1,1,2,3,2019,2,2019,2,33
451015,0,1,1,1,2019,9,2019,9,5
169642,1,1,2,4,2018,11,2018,11,2
376440,1,0,1,6,2019,6,2019,6,2
476622,1,1,2,4,2019,12,2019,12,2
138800,0,1,2,4,2018,10,2018,10,2
443277,0,0,2,6,2019,8,2019,8,2
218847,1,1,2,4,2019,2,2019,2,1
86815,0,0,1,7,2018,5,2018,5,2
383875,0,0,2,5,2019,6,2019,6,1
452998,0,0,2,6,2019,9,2019,9,7
503543,0,0,1,4,2017,11,2017,11,65
219240,0,1,1,7,2019,2,2019,2,5
24663,1,0,1,7,2017,8,2017,8,5
348567,1,0,1,2,2019,5,2019,5,2
56335,1,0,1,7,2018,1,2018,1,2
513239,0,0,2,6,2018,2,2018,2,5
105617,1,1,1,7,2018,7,2018,7,2
219557,1,1,1,7,2019,2,2019,2,2
175141,1,1,1,6,2018,12,2018,12,2
207071,0,0,2,6,2019,1,2019,1,5
55144,0,0,1,7,2018,1,2018,1,5
119020,0,1,1,4,2018,8,2018,8,2
79836,0,0,1,7,2018,4,2018,4,5
380559,0,0,1,2,2019,6,2019,6,5
294534,1,1,1,7,2019,4,2019,4,5
163692,1,1,2,1,2018,11,2018,11,2
90219,0,0,2,7,2018,5,2018,5,1
579132,0,0,2,3,2020,2,2020,2,7
204305,0,0,1,7,2019,1,2019,1,2
88111,0,1,1,3,2018,5,2018,5,2
556380,0,0,2,5,2019,4,2019,4,9
17339,0,0,2,7,2017,7,2017,7,1
208186,0,0,2,2,2019,1,2019,1,2
263090,1,1,2,2,2019,3,2019,3,5
10134,0,0,2,3,2017,4,2017,5,1
31060,0,0,2,5,2017,10,2017,10,1
312634,1,1,2,6,2019,4,2019,5,2
547523,0,0,1,4,2019,1,2019,1,7
189761,1,1,1,7,2018,12,2018,12,5
273351,0,1,1,7,2019,3,2019,4,7
233134,0,1,2,3,2019,2,2019,2,5
185689,1,1,1,7,2018,12,2018,12,2
228339,0,1,2,2,2019,2,2019,2,2
155772,1,1,2,6,2018,11,2018,11,2
169186,1,1,1,7,2018,11,2018,11,5
411054,0,0,1,4,2019,7,2019,7,5
119272,1,0,1,7,2018,8,2018,8,2
576788,0,0,1,6,2019,12,2019,12,1
32249,0,0,1,7,2017,10,2017,10,7
48182,1,0,2,4,2017,12,2017,12,5
363117,1,1,1,3,2019,5,2019,6,5
509814,1,0,1,7,2018,1,2018,1,4
449413,0,1,1,3,2019,9,2019,9,5
347095,0,1,2,2,2019,5,2019,5,1
545008,1,0,2,5,2018,12,2018,12,27
183019,0,1,2,2,2018,12,2018,12,1
210914,1,1,1,6,2019,2,2019,2,12
248421,1,1,2,7,2019,3,2019,3,2
202202,0,0,2,6,2019,1,2019,1,5
89925,0,0,1,6,2018,5,2018,5,2
9249,0,0,1,7,2017,4,2017,4,7
271241,1,1,2,3,2019,3,2019,4,2
177174,0,0,1,7,2018,12,2018,12,7
167387,1,1,2,3,2018,11,2018,11,5
251156,1,1,2,7,2019,3,2019,3,5
89933,0,0,1,7,2018,5,2018,5,2
186106,1,1,1,7,2018,12,2018,12,5
524075,0,0,2,7,2018,4,2018,5,1
162957,1,1,2,2,2018,11,2018,11,2
30137,0,0,1,7,2017,9,2017,9,2
